LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,HOMES SOLD,HOMES SOLD YOY ,MEDIAN SALE PRICE ,MEDIAN SALE PRICE YOY ,MEDIAN DAYS ON MARKET _DAYS_,MEDIAN DAYS ON MARKET YOY ,NEW LISTINGS,NEW LISTINGS YOY ,ACTIVE LISTINGS,ACTIVE LISTINGS YOY ,PENDING SALES,PENDING SALES YOY 
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Tower Lakes, IL",2,-66.67,523750,0.82,149,7900,1,-75,3,-57.14,2,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Bartelso, IL",2,100,167500,3.4,32,-300,1,0,1,0,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"New Holland, IL",2,NA,142000,NA,14,NA,1,-50,1,-50,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Roseville, IL",2,-66.67,57500,-17.86,124,-5250,1,-80,4,-55.56,3,-25
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Glasford, IL",2,100,96250,5.77,88,1750,1,-50,2,-33.33,2,-33.33
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Jonesboro, IL",2,-71.43,128500,-8.54,109,1750,1,0,7,-22.22,4,-20
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Martinsville, IL",2,100,71500,23.28,79,-40750,1,-50,3,0,1,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Nauvoo, IL",2,-33.33,195000,160,168,5500,1,-66.67,5,-16.67,2,-33.33
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Camp Point, IL",2,0,102000,-18.73,80,2050,1,-80,3,-70,2,-60
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Rankin, IL",3,NA,122000,NA,199,NA,1,0,5,66.67,3,200
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Easton, IL",3,NA,45000,NA,52,NA,1,0,2,0,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Fayetteville, IL",3,NA,191333,NA,159,NA,1,0,5,150,4,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Ridge Farm, IL",3,50,89000,-10.1,43,500,1,0,4,33.33,1,-66.67
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Okawville, IL",3,50,200000,97.14,152,11450,1,-80,3,-40,2,-50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Robinson, IL",3,50,27000,-85.52,72,-100,1,-80,6,-45.45,4,-20
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Wyoming, IL",3,0,117200,23.37,21,-5900,1,-66.67,2,-60,3,-25
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Carbon Cliff, IL",3,50,226000,26.82,85,1800,1,-75,12,100,3,50
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Woodlawn, IL",3,200,150000,-15.25,80,-2000,1,-66.67,5,25,3,200
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Lovington, IL",3,50,124000,5.98,33,-4600,1,0,3,50,2,100
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Fithian, IL",3,200,145000,663.16,149,13600,1,0,2,0,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Kincaid, IL",4,-20,161250,24.04,61,2400,1,-66.67,3,-57.14,3,-40
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Assumption, IL",4,-20,80000,-42.03,91,2500,1,-88.89,7,-56.25,4,-42.86
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Georgetown, IL",4,300,115000,22.99,105,9050,1,-66.67,6,20,7,133.33
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Hamel, IL",4,0,287500,-13.4,128,7650,1,-50,3,-40,3,-25
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Germantown, IL",4,100,288500,78.64,56,3350,1,-66.67,4,-20,1,-66.67
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Moro, IL",5,400,270000,11.57,42,-9850,1,0,6,200,2,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"East Galesburg, IL",5,NA,345000,NA,138,NA,1,0,6,100,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Rapids City, IL",5,25,240000,46.34,11,-3300,1,-75,2,-71.43,5,25
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Leland, IL",6,500,238500,-1.45,76,4200,1,0,6,500,5,400
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Crescent City, IL",NA,NA,NA,NA,NA,NA,1,NA,4,300,1,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Grand Ridge, IL",NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Maquon, IL",NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Mason, IL",NA,NA,NA,NA,NA,NA,1,NA,2,100,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Emden, IL",NA,NA,NA,NA,NA,NA,1,-50,1,-66.67,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Venedy, IL",NA,NA,NA,NA,NA,NA,1,NA,1,0,1,0
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Cantrall, IL",NA,NA,NA,NA,NA,NA,1,0,1,0,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Hooppole, IL",NA,NA,NA,NA,NA,NA,1,-50,2,0,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Good Hope, IL",NA,NA,NA,NA,NA,NA,1,NA,3,0,2,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Norris City, IL",NA,NA,NA,NA,NA,NA,1,NA,1,0,NA,NA
2026-04-03,Rolling 3 Months,2026-01-01,2026-03-31,City,"Kenney, IL",NA,NA,NA,NA,NA,NA,1,NA,1,-66.67,1,-50
